(1,2)
(1,3)
(1,4)
(1,5)
(1,6)
(1,7)
(1,286)
(1,287)
(1,304)
(1,307)
(1,321)
(1,326)
(1,353)
(1,358)
(1,578)
(1,587)
(1,641)
(1,650)
(1,696)
(1,705)
(1,759)
(1,768)
(1,988)
(1,993)
(1,1020)
(1,1025)
(1,1039)
(1,1042)
(1,1059)
(1,1060)
(2,3)
(2,7)
(2,690)
(2,691)
(2,712)
(2,715)
(2,734)
(2,741)
(2,776)
(2,783)
(2,999)
(2,1008)
(2,1047)
(2,1054)
(2,1088)
(2,1097)
(2,1147)
(2,1154)
(2,1209)
(2,1212)
(2,1258)
(2,1261)
(2,1275)
(2,1276)
(2,1281)
(2,1282)
(2,1290)
(2,1291)
(2,1296)
(3,4)
(3,482)
(3,483)
(3,512)
(3,515)
(3,542)
(3,549)
(3,583)
(3,588)
(3,680)
(3,779)
(3,787)
(3,853)
(3,860)
(3,915)
(3,924)
(3,990)
(3,996)
(3,1080)
(3,1151)
(3,1155)
(3,1179)
(3,1181)
(3,1189)
(3,1190)
(3,1204)
(3,1205)
(3,1212)
(4,5)
(4,137)
(4,146)
(4,147)
(4,160)
(4,161)
(4,168)
(4,170)
(4,196)
(4,200)
(4,280)
(4,355)
(4,361)
(4,430)
(4,439)
(4,492)
(4,499)
(4,566)
(4,574)
(4,680)
(4,764)
(4,769)
(4,807)
(4,814)
(4,839)
(4,842)
(4,868)
(4,869)
(5,6)
(5,50)
(5,55)
(5,56)
(5,64)
(5,65)
(5,70)
(5,71)
(5,85)
(5,88)
(5,134)
(5,137)
(5,192)
(5,199)
(5,249)
(5,258)
(5,292)
(5,299)
(5,338)
(5,347)
(5,563)
(5,570)
(5,605)
(5,612)
(5,631)
(5,634)
(5,655)
(5,656)
(6,7)
(6,134)
(6,141)
(6,142)
(6,156)
(6,157)
(6,165)
(6,167)
(6,191)
(6,195)
(6,266)
(6,350)
(6,356)
(6,422)
(6,431)
(6,486)
(6,493)
(6,559)
(6,567)
(6,666)
(6,758)
(6,763)
(6,797)
(6,804)
(6,831)
(6,834)
(6,863)
(6,864)
(7,477)
(7,478)
(7,504)
(7,507)
(7,532)
(7,539)
(7,577)
(7,582)
(7,666)
(7,772)
(7,780)
(7,847)
(7,854)
(7,907)
(7,916)
(7,985)
(7,991)
(7,1066)
(7,1146)
(7,1150)
(7,1176)
(7,1178)
(7,1185)
(7,1186)
(7,1199)
(7,1200)
(7,1209)
(8,11)
(8,39)
(8,43)
(8,71)
(8,85)
(8,104)
(8,114)
(8,120)
(9,10)
(9,40)
(9,44)
(9,70)
(9,88)
(9,102)
(9,115)
(9,121)
(10,49)
(10,50)
(10,76)
(10,100)
(10,102)
(10,114)
(10,134)
(10,1073)
(11,50)
(11,51)
(11,81)
(11,104)
(11,106)
(11,115)
(11,137)
(11,673)
(12,16)
(12,52)
(12,56)
(12,83)
(12,87)
(12,120)
(12,134)
(12,135)
(12,142)
(12,468)
(13,19)
(13,24)
(13,53)
(13,58)
(13,85)
(13,88)
(13,119)
(13,122)
(13,135)
(13,136)
(13,144)
(14,15)
(14,55)
(14,59)
(14,86)
(14,90)
(14,121)
(14,136)
(14,137)
(14,146)
(14,887)
(15,62)
(15,65)
(15,121)
(15,134)
(15,151)
(15,157)
(16,64)
(16,67)
(16,120)
(16,137)
(16,152)
(16,160)
(17,69)
(17,71)
(17,134)
(17,152)
(17,167)
(18,70)
(18,72)
(18,137)
(18,151)
(18,168)
